Rank	Brand	Sales	Total Sales	Model
1	比亚迪	239695	785060	秦PLUS DM-i
2	大众	136317	618972	大众朗逸
3	丰田	101279	428588	锋兰达
4	本田	77042	311957	本田CR-V
5	吉利汽车	65990	308692	吉利星越L
6	长安	44512	285434	长安CS75 Plus
7	五菱汽车	51998	244627	五菱宏光MINIEV
8	宝马	48901	206588	宝马3系
9	日产	48017	195446	轩逸
10	奥迪	51009	192992	奥迪A6L
11	奔驰	42749	187862	奔驰C级
12	特斯拉	31421	163841	特斯拉Model Y
13	奇瑞	33610	154929	奇瑞瑞虎8
14	别克	29907	132248	威朗
15	红旗	27570	125889	红旗H5
16	哈弗	21636	111790	哈弗H6
17	AITO	25073	107520	问界M7
18	理想汽车	25787	106189	理想L7
19	捷途	23713	98729	捷途旅行者
20	广汽传祺	22848	92896	传祺M8
21	埃安	25091	87256	AION S
22	长安欧尚	10918	73610	长安欧尚Z6
23	领克	17045	73604	领克08 EM-P
24	现代	14267	65778	伊兰特
25	坦克	16210	54943	坦克300
26	吉利银河	12725	51249	银河L7
27	福特	10589	49592	蒙迪欧
28	极氪	16089	49148	极氪001
29	零跑汽车	15005	48415	零跑C11
30	荣威	11079	48049	荣威i5
31	蔚来	15620	45673	蔚来ES6
32	深蓝汽车	10016	43024	深蓝S7
33	沃尔沃	10260	42808	沃尔沃XC60
34	凯迪拉克	9507	42529	凯迪拉克CT5
35	捷达	9019	41585	捷达VS5
36	长安启源	11723	38785	长安启源A05
37	东风风神	7229	36610	皓瀚
38	腾势	11122	34926	腾势D9 DM-i
39	小鹏汽车	9393	31214	小鹏X9
40	名爵	5266	27964	MG 5
41	奔腾	6251	26174	奔腾B70
42	马自达	5954	25250	马自达3昂克赛拉
43	雪佛兰	3507	22028	雪佛兰科鲁泽
44	吉利几何	3874	21718	几何E萤火虫
45	岚图	4003	20347	岚图梦想家 PHEV
46	星途	5005	19251	星途瑶光
47	哪吒汽车	4027	19205	哪吒X
48	东风风行	4433	18305	菱智
49	起亚	4887	18237	起亚K3
50	林肯	4390	17700	林肯航海家
51	奇瑞新能源	4745	17400	QQ冰淇淋
52	欧拉	3553	14755	欧拉好猫
53	启辰	3808	13477	启辰大V DD-i超混动
54	魏牌	4106	13363	蓝山DHT-PHEV
55	北京	4851	13350	北京BJ40
56	方程豹	2110	13173	豹5
57	智己汽车	3000	13001	智己LS6
58	阿维塔	4395	12158	阿维塔 12
59	蓝电	2256	11645	蓝电E5
60	北京汽车	1508	10390	北京EU5
61	标致	2089	10109	标致408
62	东风风光	3135	9992	风光ix5
63	智界	5012	9607	智界S7
64	iCAR	4940	9511	奇瑞iCAR 03
65	路虎	2523	9251	路虎揽胜极光
66	大运	1777	8117	悦虎
67	凯翼	1886	7962	炫界
68	宝骏	1983	7758	悦也
69	东风纳米	2089	7596	纳米01
70	SRM鑫源	2711	7492	金海狮
71	上汽大通MAXUS	1888	7231	上汽大通Maxus G50
72	小米汽车	7058	7058	小米SU7
73	雪铁龙	1800	6932	凡尔赛C5 X
74	江淮瑞风	1281	5725	瑞风M3
75	smart	1718	5589	smart精灵#1
76	捷豹	1321	5344	捷豹XFL
77	ARCFOX极狐	2326	5318	极狐 阿尔法T5
78	北汽制造	1176	5194	锐胜王牌M7
79	斯柯达	1000	4808	柯米克GT
80	仰望	952	4474	仰望U8
81	东风奕派	2795	4015	奕派eπ 007
82	曹操汽车	1152	3872	曹操60
83	长安凯程	823	3861	长安欧诺S
84	昊铂	1018	3860	昊铂GT
85	创维汽车	1126	3696	创维HT-i
86	凌宝汽车	1045	3221	凌宝BOX
87	江铃集团新能源	839	3092	小麒麟
88	合创汽车	762	2939	合创Z03
89	飞凡汽车	150	2796	飞凡R7
90	江淮钇为	1082	2632	钇为3
91	睿蓝汽车	744	2528	睿蓝7
92	SWM斯威汽车	174	2496	斯威G05
93	中国重汽VGV	480	1772	VGV U70
94	江淮汽车	222	1575	江淮X8 PLUS
95	思铭	403	1278	东风本田M-NV
96	极石汽车	154	1269	极石01
97	极越	362	1238	极越01
98	东风风度	276	1180	帕拉丁
99	东风富康	800	951	e爱丽舍
100	Polestar极星	117	747	Polestar 4
